updated_name,resprouting_binomial,seeding_binomial,avg_maturity_primary,avg_maturity_secondary,bin_maturity_primary,min_maturity_primary,min_maturity_secondary,resprouting_binomial_score,seeding_binomial_score,avg_maturity_primary_score,avg_maturity_secondary_score,bin_maturity_primary_score,min_maturity_primary_score,min_maturity_secondary_score,score_GM
Leptospermum polygalifolium,TRUE,TRUE,NA,NA,1--5,NA,1.821705426,0.2,0.2,NA,NA,0.2,NA,0.2,0.2
Leptospermum rupestre,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1
Leptospermum scoparium,TRUE,TRUE,NA,NA,1--5,NA,NA,0.2,0.2,NA,NA,0.2,NA,NA,0.2
Leptospermum squarrosum,TRUE,NA,NA,NA,1--5,3,NA,0.2,NA,NA,NA,0.2,0.2,NA,0.2
Leucanthemum vulgare,TRUE,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,0.2
Leucochrysum alpinum,TRUE,TRUE,NA,NA,0--1,NA,NA,0.2,0.2,NA,NA,0.2,NA,NA,0.2
Leucopogon margarodes,TRUE,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,0.2
Acrothamnus montanus,TRUE,FALSE,NA,NA,1--5,5,NA,0.2,1,NA,NA,0.2,0.2,NA,0.299069756
Levenhookia stipitata,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1
Lomandra longifolia,TRUE,FALSE,NA,1,1--5,1,0.658914729,0.2,1,NA,0.2,0.2,0.2,0.2,0.261532097
Lomatia fraseri,TRUE,FALSE,NA,NA,5--20,NA,NA,0.2,1,NA,NA,1,NA,NA,0.584803548
Lomatia silaifolia,TRUE,TRUE,NA,1,5--20,1,0.949612403,0.2,0.2,NA,0.2,1,0.2,0.2,0.261532097
Lophostemon confertus,TRUE,TRUE,NA,NA,NA,NA,NA,0.2,0.2,NA,NA,NA,NA,NA,0.2
Lophostemon grandiflorus,TRUE,NA,NA,NA,10--,NA,NA,0.2,NA,NA,NA,1,NA,NA,0.447213595
Lophostemon suaveolens,TRUE,TRUE,NA,NA,NA,NA,NA,0.2,0.2,NA,NA,NA,NA,NA,0.2
Macrozamia communis,TRUE,NA,NA,NA,20--,10,NA,0.2,NA,NA,NA,1,1,NA,0.584803548
Macrozamia riedlei,TRUE,FALSE,NA,NA,NA,NA,NA,0.2,1,NA,NA,NA,NA,NA,0.447213595
Mallotus paniculatus,TRUE,TRUE,NA,NA,NA,NA,NA,0.2,0.2,NA,NA,NA,NA,NA,0.2
Mallotus philippensis,TRUE,TRUE,NA,NA,6--10,NA,NA,0.2,0.2,NA,NA,1,NA,NA,0.341995189
Denhamia silvestris,TRUE,FALSE,NA,NA,5--20,NA,2,0.2,1,NA,NA,1,NA,0.2,0.447213595
Melaleuca acacioides,TRUE,NA,NA,NA,6--10,NA,NA,0.2,NA,NA,NA,1,NA,NA,0.447213595
Melaleuca acuminata,FALSE,TRUE,4,NA,1--5,NA,NA,1,0.2,0.2,NA,0.2,NA,NA,0.299069756
Melaleuca armillaris,TRUE,NA,NA,NA,1--5,NA,NA,0.2,NA,NA,NA,0.2,NA,NA,0.2
Melaleuca bracteata,TRUE,TRUE,NA,NA,10--,NA,NA,0.2,0.2,NA,NA,1,NA,NA,0.341995189
Melaleuca cajuputi,TRUE,NA,NA,NA,6--10,NA,NA,0.2,NA,NA,NA,1,NA,NA,0.447213595
Melaleuca dealbata,TRUE,NA,NA,NA,6--10,NA,NA,0.2,NA,NA,NA,1,NA,NA,0.447213595
Melaleuca decora,TRUE,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,0.2
Melaleuca ericifolia,TRUE,FALSE,NA,NA,1--5,NA,NA,0.2,1,NA,NA,0.2,NA,NA,0.341995189
Melaleuca glomerata,TRUE,NA,NA,NA,6--10,NA,NA,0.2,NA,NA,NA,1,NA,NA,0.447213595
Melaleuca huegelii,TRUE,TRUE,NA,NA,NA,NA,NA,0.2,0.2,NA,NA,NA,NA,NA,0.2
Melaleuca lanceolata,TRUE,TRUE,NA,NA,5--20,NA,NA,0.2,0.2,NA,NA,1,NA,NA,0.341995189
Melaleuca leucadendra,TRUE,TRUE,NA,NA,6--10,NA,NA,0.2,0.2,NA,NA,1,NA,NA,0.341995189
Melaleuca linariifolia,TRUE,TRUE,NA,4,5--20,4,1.821705426,0.2,0.2,NA,1,1,0.2,0.2,0.341995189
Melaleuca nervosa,TRUE,TRUE,NA,NA,6--10,NA,NA,0.2,0.2,NA,NA,1,NA,NA,0.341995189
Melaleuca nodosa,TRUE,TRUE,NA,NA,NA,4,1.763565891,0.2,0.2,NA,NA,NA,0.2,0.2,0.2
Melaleuca pauperiflora,NA,NA,NA,NA,1--5,NA,NA,NA,NA,NA,NA,0.2,NA,NA,0.2
Melaleuca quinquenervia,TRUE,NA,NA,0.2,NA,1,NA,0.2,NA,NA,0.2,NA,0.2,NA,0.2
Melaleuca sieberi,TRUE,TRUE,NA,NA,NA,2,2,0.2,0.2,NA,NA,NA,0.2,0.2,0.2
Melaleuca styphelioides,TRUE,FALSE,NA,NA,NA,NA,NA,0.2,1,NA,NA,NA,NA,NA,0.447213595
Melaleuca subfalcata,FALSE,TRUE,NA,NA,NA,NA,NA,1,0.2,NA,NA,NA,NA,NA,0.447213595
Melaleuca thymifolia,TRUE,TRUE,NA,0.4,NA,1,NA,0.2,0.2,NA,0.2,NA,0.2,NA,0.2
Melaleuca uncinata,TRUE,TRUE,NA,NA,1--5,NA,NA,0.2,0.2,NA,NA,0.2,NA,NA,0.2
Melaleuca viridiflora,TRUE,TRUE,NA,NA,4--5,NA,NA,0.2,0.2,NA,NA,0.2,NA,NA,0.2
Melastoma affine,TRUE,TRUE,NA,NA,NA,NA,NA,0.2,0.2,NA,NA,NA,NA,NA,0.2
Melicope elleryana,TRUE,TRUE,NA,NA,6--10,NA,NA,0.2,0.2,NA,NA,1,NA,NA,0.341995189
Melicope micrococca,TRUE,TRUE,NA,NA,NA,NA,NA,0.2,0.2,NA,NA,NA,NA,NA,0.2
Brombya platynema,NA,NA,NA,NA,5--10,NA,NA,NA,NA,NA,NA,1,NA,NA,1
Micromyrtus hexamera,FALSE,NA,NA,NA,1--5,NA,NA,1,NA,NA,NA,0.2,NA,NA,0.447213595
Micromyrtus sessilis,TRUE,TRUE,NA,NA,1--5,NA,NA,0.2,0.2,NA,NA,0.2,NA,NA,0.2
Microseris lanceolata,TRUE,TRUE,NA,1,0--1,1,NA,0.2,0.2,NA,0.2,0.2,0.2,NA,0.2
Muellerina eucalyptoides,TRUE,TRUE,NA,NA,1--5,NA,NA,0.2,0.2,NA,NA,0.2,NA,NA,0.2
Murraya paniculata,TRUE,NA,NA,NA,6--10,NA,NA,0.2,NA,NA,NA,1,NA,NA,0.447213595
Myoporum insulare,TRUE,TRUE,NA,NA,1--5,1,NA,0.2,0.2,NA,NA,0.2,0.2,NA,0.2
Myoporum platycarpum,TRUE,TRUE,NA,NA,5--20,NA,NA,0.2,0.2,NA,NA,1,NA,NA,0.341995189
Myoporum viscosum,FALSE,NA,NA,NA,1--5,NA,NA,1,NA,NA,NA,0.2,NA,NA,0.447213595
Montia australasica,TRUE,TRUE,NA,NA,0--1,1,NA,0.2,0.2,NA,NA,0.2,0.2,NA,0.2
Nothofagus cunninghamii,FALSE,FALSE,NA,NA,5--20,NA,NA,1,1,NA,NA,1,NA,NA,1
Nuytsia floribunda,TRUE,FALSE,NA,NA,NA,NA,NA,0.2,1,NA,NA,NA,NA,NA,0.447213595
Olearia phlogopappa,TRUE,NA,NA,NA,1--5,2,NA,0.2,NA,NA,NA,0.2,0.2,NA,0.2
Olearia brevipedunculata,TRUE,TRUE,NA,NA,1--5,NA,NA,0.2,0.2,NA,NA,0.2,NA,NA,0.2
Orites excelsus,FALSE,FALSE,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1
Orites lancifolius,TRUE,FALSE,NA,NA,5--20,5,NA,0.2,1,NA,NA,1,0.2,NA,0.447213595
Orites revolutus,TRUE,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,0.2
Podolobium aciculiferum,TRUE,TRUE,NA,NA,NA,NA,NA,0.2,0.2,NA,NA,NA,NA,NA,0.2
Oxylobium ellipticum,TRUE,TRUE,NA,NA,5--20,5,NA,0.2,0.2,NA,NA,1,0.2,NA,0.299069756
Podolobium ilicifolium,TRUE,TRUE,NA,NA,5--20,NA,0.736434109,0.2,0.2,NA,NA,1,NA,0.2,0.299069756
Ozothamnus cupressoides,FALSE,TRUE,NA,NA,1--5,NA,NA,1,0.2,NA,NA,0.2,NA,NA,0.341995189
Ozothamnus diosmifolius,TRUE,FALSE,NA,NA,1--5,1.937984,NA,0.2,1,NA,NA,0.2,0.2,NA,0.299069756
Ozothamnus ferrugineus,FALSE,TRUE,NA,NA,1--5,2,NA,1,0.2,NA,NA,0.2,0.2,NA,0.299069756
Ozothamnus hookeri,TRUE,NA,NA,NA,1--5,2,NA,0.2,NA,NA,NA,0.2,0.2,NA,0.2
Ozothamnus obcordatus,FALSE,TRUE,NA,NA,1--5,NA,NA,1,0.2,NA,NA,0.2,NA,NA,0.341995189
Ozothamnus thyrsoideus,TRUE,TRUE,NA,NA,1--5,NA,NA,0.2,0.2,NA,NA,0.2,NA,NA,0.2
Patersonia occidentalis,TRUE,NA,3,NA,NA,NA,NA,0.2,NA,0.2,NA,NA,NA,NA,0.2
Pentachondra pumila,FALSE,FALSE,NA,NA,1--5,NA,NA,1,1,NA,NA,0.2,NA,NA,0.584803548
Persoonia lanceolata,FALSE,FALSE,NA,NA,NA,2.093023,NA,1,1,NA,NA,NA,0.2,NA,0.584803548
Persoonia mollis subsp. livens,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1
Persoonia mollis subsp. revoluta,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1
Persoonia virgata,TRUE,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,0.2
Nematolepis ovatifolia,FALSE,FALSE,NA,NA,5--20,NA,NA,1,1,NA,NA,1,NA,NA,1
Phebalium squamulosum,TRUE,TRUE,NA,NA,5--20,5,NA,0.2,0.2,NA,NA,1,0.2,NA,0.299069756
Philotheca spicata,TRUE,TRUE,NA,NA,NA,NA,NA,0.2,0.2,NA,NA,NA,NA,NA,0.2
Phyllota grandiflora,TRUE,NA,NA,NA,NA,NA,0.717054264,0.2,NA,NA,NA,NA,NA,0.2,0.2
Phyllota phylicoides,TRUE,TRUE,NA,NA,NA,4,1.666666667,0.2,0.2,NA,NA,NA,0.2,0.2,0.2
Physalis peruviana,TRUE,TRUE,NA,NA,NA,2.713178,NA,0.2,0.2,NA,NA,NA,0.2,NA,0.2
Pimelea axiflora,TRUE,FALSE,NA,NA,5--20,NA,NA,0.2,1,NA,NA,1,NA,NA,0.584803548
Pimelea ligustrina,TRUE,TRUE,NA,NA,5--20,NA,NA,0.2,0.2,NA,NA,1,NA,NA,0.341995189
Pinus patula,NA,TRUE,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,0.2
Pinus radiata,TRUE,TRUE,NA,NA,NA,NA,NA,0.2,0.2,NA,NA,NA,NA,NA,0.2
Planchonia careya,TRUE,FALSE,NA,NA,6--10,NA,NA,0.2,1,NA,NA,1,NA,NA,0.584803548
Pleiogynium timoriense,TRUE,TRUE,NA,NA,NA,NA,NA,0.2,0.2,NA,NA,NA,NA,NA,0.2
Poa costiniana,TRUE,TRUE,NA,1,1--5,1,NA,0.2,0.2,NA,0.2,0.2,0.2,NA,0.2
Poa hiemata,TRUE,NA,NA,1,1--5,1,NA,0.2,NA,NA,0.2,0.2,0.2,NA,0.2
Poa labillardierei,TRUE,NA,NA,NA,1--5,NA,NA,0.2,NA,NA,NA,0.2,NA,NA,0.2
Podolepis canescens,FALSE,NA,NA,NA,0--1,NA,NA,1,NA,NA,NA,0.2,NA,NA,0.447213595
Podolepis neglecta,TRUE,NA,NA,NA,1--5,NA,NA,0.2,NA,NA,NA,0.2,NA,NA,0.2
Podolepis robusta,TRUE,NA,NA,1,1--5,1,NA,0.2,NA,NA,0.2,0.2,0.2,NA,0.2
Podolobium alpestre,TRUE,TRUE,NA,NA,5--20,5,NA,0.2,0.2,NA,NA,1,0.2,NA,0.299069756
Millettia pinnata,TRUE,TRUE,NA,NA,10--,NA,NA,0.2,0.2,NA,NA,1,NA,NA,0.341995189
Prasophyllum alpinum,TRUE,NA,NA,NA,1--5,NA,NA,0.2,NA,NA,NA,0.2,NA,NA,0.2
Prasophyllum fimbria,TRUE,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,0.2
Prostanthera cuneata,TRUE,TRUE,NA,NA,1--5,5,NA,0.2,0.2,NA,NA,0.2,0.2,NA,0.2
Prostanthera lasianthos,FALSE,TRUE,NA,NA,1--5,5,NA,1,0.2,NA,NA,0.2,0.2,NA,0.299069756
Cullen patens,TRUE,NA,NA,NA,1--5,NA,NA,0.2,NA,NA,NA,0.2,NA,NA,0.2
Pultenaea acerosa,FALSE,NA,NA,NA,5--20,NA,NA,1,NA,NA,NA,1,NA,NA,1
Pultenaea blakelyi,FALSE,NA,NA,NA,5--20,NA,NA,1,NA,NA,NA,1,NA,NA,1
Pultenaea daphnoides,FALSE,TRUE,NA,NA,5--20,1.666667,NA,1,0.2,NA,NA,1,0.2,NA,0.447213595
Pultenaea tuberculata,FALSE,TRUE,NA,2,NA,1.182171,NA,1,0.2,NA,0.2,NA,0.2,NA,0.299069756
Pultenaea ferruginea,FALSE,TRUE,NA,NA,NA,NA,NA,1,0.2,NA,NA,NA,NA,NA,0.447213595
Pultenaea flexilis,FALSE,TRUE,NA,NA,5--20,1.705426,NA,1,0.2,NA,NA,1,0.2,NA,0.447213595
Pultenaea glabra,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1
Pultenaea largiflorens,FALSE,NA,NA,NA,5--20,NA,NA,1,NA,NA,NA,1,NA,NA,1
Pultenaea microphylla,TRUE,TRUE,NA,NA,5--20,NA,3,0.2,0.2,NA,NA,1,NA,0.2,0.299069756
Pultenaea stipularis,FALSE,NA,NA,NA,NA,1.744186,NA,1,NA,NA,NA,NA,0.2,NA,0.447213595
Pultenaea tenella,TRUE,TRUE,NA,NA,5--20,NA,NA,0.2,0.2,NA,NA,1,NA,NA,0.341995189
Pultenaea villosa,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1
Ranunculus victoriensis,TRUE,TRUE,NA,NA,1--5,NA,NA,0.2,0.2,NA,NA,0.2,NA,NA,0.2
Myrsine variabilis,TRUE,FALSE,NA,NA,5--20,2,2.364341085,0.2,1,NA,NA,1,0.2,0.2,0.380730788
Rhadinothamnus anceps,FALSE,NA,1,NA,NA,NA,NA,1,NA,0.2,NA,NA,NA,NA,0.447213595
Rhodanthe charsleyae,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1
Richea continentis,FALSE,TRUE,NA,NA,1--5,NA,NA,1,0.2,NA,NA,0.2,NA,NA,0.341995189
Rubus anglocandicans,TRUE,TRUE,NA,1,NA,1,0.736434109,0.2,0.2,NA,0.2,NA,0.2,0.2,0.2
Rubus moluccanus var. moluccanus,TRUE,FALSE,NA,NA,NA,NA,NA,0.2,1,NA,NA,NA,NA,NA,0.447213595
Rubus moorei,TRUE,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,0.2
Rubus parvifolius,TRUE,TRUE,NA,NA,1--5,NA,NA,0.2,0.2,NA,NA,0.2,NA,NA,0.2
Rubus rosifolius,TRUE,FALSE,NA,NA,5--20,NA,NA,0.2,1,NA,NA,1,NA,NA,0.584803548
Santalum acuminatum,TRUE,TRUE,NA,NA,6--10,NA,NA,0.2,0.2,NA,NA,1,NA,NA,0.341995189
Scaevola spinescens,TRUE,TRUE,NA,NA,4--5,NA,NA,0.2,0.2,NA,NA,0.2,NA,NA,0.2
Schizomeria ovata,TRUE,FALSE,NA,NA,NA,NA,NA,0.2,1,NA,NA,NA,NA,NA,0.447213595
Schoenia cassiniana,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1
Scolopia braunii,TRUE,FALSE,NA,NA,NA,NA,NA,0.2,1,NA,NA,NA,NA,NA,0.447213595
Senecio gunnii,TRUE,TRUE,NA,NA,1--5,1,NA,0.2,0.2,NA,NA,0.2,0.2,NA,0.2
Senecio depressicola,TRUE,NA,NA,NA,0--1,NA,NA,0.2,NA,NA,NA,0.2,NA,NA,0.2
Senecio pinnatifolius,TRUE,TRUE,NA,NA,0--1,NA,NA,0.2,0.2,NA,NA,0.2,NA,NA,0.2
Senecio pinnatifolius var. alpinus,TRUE,TRUE,NA,1,0--1,1,NA,0.2,0.2,NA,0.2,0.2,0.2,NA,0.2
Sida cordifolia,TRUE,FALSE,NA,NA,5--20,NA,NA,0.2,1,NA,NA,1,NA,NA,0.584803548
Sloanea woollsii,FALSE,FALSE,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1
Solanum centrale,TRUE,NA,NA,NA,1,NA,NA,0.2,NA,NA,NA,0.2,NA,NA,0.2
Solanum cinereum,FALSE,TRUE,NA,NA,1--5,NA,NA,1,0.2,NA,NA,0.2,NA,NA,0.341995189
Solanum dioicum,TRUE,NA,NA,NA,1,NA,NA,0.2,NA,NA,NA,0.2,NA,NA,0.2
Solanum ellipticum,TRUE,TRUE,NA,NA,1--5,NA,NA,0.2,0.2,NA,NA,0.2,NA,NA,0.2
Solanum esuriale,TRUE,NA,NA,NA,1--5,NA,NA,0.2,NA,NA,NA,0.2,NA,NA,0.2
Solanum hoplopetalum,NA,TRUE,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,0.2
Solanum lucani,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1
Solanum mauritianum,TRUE,FALSE,NA,1,NA,1,0.697674419,0.2,1,NA,0.2,NA,0.2,0.2,0.275945932
Solanum nummularium,NA,TRUE,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,0.2
Solanum parvifolium,FALSE,NA,NA,NA,5--20,NA,NA,1,NA,NA,NA,1,NA,NA,1
Solanum petrophilum,TRUE,NA,NA,NA,1,NA,NA,0.2,NA,NA,NA,0.2,NA,NA,0.2
Solanum quadriloculatum,TRUE,NA,NA,NA,1,NA,NA,0.2,NA,NA,NA,0.2,NA,NA,0.2
Solanum sturtianum,TRUE,NA,NA,NA,1,NA,NA,0.2,NA,NA,NA,0.2,NA,NA,0.2
Stackhousia pulvinaris,TRUE,FALSE,NA,NA,1--5,1,NA,0.2,1,NA,NA,0.2,0.2,NA,0.299069756
Stemodia florulenta,TRUE,NA,NA,NA,1--5,NA,NA,0.2,NA,NA,NA,0.2,NA,NA,0.2
Austrostipa setacea,TRUE,NA,NA,NA,1--5,1,NA,0.2,NA,NA,NA,0.2,0.2,NA,0.2
Stylidium armeria,TRUE,TRUE,NA,NA,1--5,NA,NA,0.2,0.2,NA,NA,0.2,NA,NA,0.2
Stylidium bulbiferum,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1
Stylidium graminifolium,TRUE,TRUE,NA,NA,1--5,1,0.581395349,0.2,0.2,NA,NA,0.2,0.2,0.2,0.2
Stylidium rigidulum,TRUE,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,0.2
Stypandra glauca,TRUE,NA,NA,NA,1--5,NA,NA,0.2,NA,NA,NA,0.2,NA,NA,0.2
Swainsona galegifolia,TRUE,NA,NA,NA,1--5,2,NA,0.2,NA,NA,NA,0.2,0.2,NA,0.2
Syncarpia glomulifera,TRUE,TRUE,NA,NA,20--,NA,5.03875969,0.2,0.2,NA,NA,1,NA,1,0.447213595
Synima cordierorum,TRUE,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,0.2
Syzygium tierneyanum,TRUE,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,0.2
Syzygium australe,TRUE,FALSE,NA,NA,NA,NA,NA,0.2,1,NA,NA,NA,NA,NA,0.447213595
Syzygium oleosum,TRUE,TRUE,NA,NA,NA,NA,NA,0.2,0.2,NA,NA,NA,NA,NA,0.2
Syzygium paniculatum,TRUE,NA,NA,2,NA,NA,NA,0.2,NA,NA,0.2,NA,NA,NA,0.2
Syzygium wilsonii subsp. wilsonii,TRUE,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,0.2
Taraxacum sect. Taraxacum,TRUE,TRUE,NA,1,NA,1,0.213178295,0.2,0.2,NA,0.2,NA,0.2,0.2,0.2
Terminalia catappa,TRUE,NA,NA,NA,6--10,NA,NA,0.2,NA,NA,NA,1,NA,NA,0.447213595
Terminalia hadleyana,TRUE,FALSE,NA,NA,NA,NA,NA,0.2,1,NA,NA,NA,NA,NA,0.447213595
Themeda triandra,TRUE,TRUE,NA,1,1--5,1,0.251937984,0.2,0.2,NA,0.2,0.2,0.2,0.2,0.2
Thryptomene australis,FALSE,NA,1.916666667,NA,NA,NA,NA,1,NA,0.2,NA,NA,NA,NA,0.447213595
Toona ciliata,TRUE,FALSE,NA,NA,NA,NA,NA,0.2,1,NA,NA,NA,NA,NA,0.447213595
Trachymene glaucifolia,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1
Trema tomentosa,FALSE,TRUE,NA,NA,2--3,NA,NA,1,0.2,NA,NA,0.2,NA,NA,0.341995189
Tribulus occidentalis,FALSE,NA,NA,NA,0--1,NA,NA,1,NA,NA,NA,0.2,NA,NA,0.447213595
Trichodesma zeylanicum,FALSE,TRUE,NA,NA,1,NA,NA,1,0.2,NA,NA,0.2,NA,NA,0.341995189
Tristaniopsis laurina,TRUE,FALSE,NA,NA,5--20,2,2.015503876,0.2,1,NA,NA,1,0.2,0.2,0.380730788
Triumfetta rhomboidea,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1
Velleia spathulata,TRUE,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,0.2
Verbena bonariensis,TRUE,TRUE,NA,NA,NA,NA,NA,0.2,0.2,NA,NA,NA,NA,NA,0.2
Verticordia acerosa,TRUE,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,0.2
Verticordia picta,FALSE,TRUE,NA,NA,NA,NA,NA,1,0.2,NA,NA,NA,NA,NA,0.447213595
Verticordia serrata,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1
Viminaria juncea,FALSE,TRUE,NA,NA,1--5,1.763566,NA,1,0.2,NA,NA,0.2,0.2,NA,0.299069756
Wahlenbergia ceracea,TRUE,TRUE,NA,NA,1--5,1,NA,0.2,0.2,NA,NA,0.2,0.2,NA,0.2
Wahlenbergia gloriosa,TRUE,TRUE,NA,NA,1--5,1,NA,0.2,0.2,NA,NA,0.2,0.2,NA,0.2
Xanthorrhoea,TRUE,FALSE,NA,NA,NA,NA,NA,0.2,1,NA,NA,NA,NA,NA,0.447213595
Xanthorrhoea australis,TRUE,TRUE,NA,1,5--20,1,NA,0.2,0.2,NA,0.2,1,0.2,NA,0.275945932
Xanthorrhoea johnsonii,TRUE,FALSE,NA,NA,5--20,2,NA,0.2,1,NA,NA,1,0.2,NA,0.447213595
Xanthorrhoea minor,TRUE,NA,NA,NA,5--20,NA,0.736434109,0.2,NA,NA,NA,1,NA,0.2,0.341995189
Xanthorrhoea preissii,TRUE,FALSE,NA,NA,NA,NA,NA,0.2,1,NA,NA,NA,NA,NA,0.447213595
Xerochrysum subundulatum,TRUE,TRUE,NA,1,0--1,NA,NA,0.2,0.2,NA,0.2,0.2,NA,NA,0.2
