original_name,updated_name,resprouting_binomial,seeding_binomial,min_maturity_primary,avg_maturity_primary,bin_maturity_primary,min_maturity_secondary,avg_maturity_secondary,resprouting_binomial_score,seeding_binomial_score,min_maturity_primary_score,avg_maturity_primary_score,bin_maturity_primary_score,min_maturity_secondary_score,avg_maturity_secondary_score,score_GM
Melaleuca thymifolia,Melaleuca thymifolia,TRUE,TRUE,1,NA,NA,NA,0.4,0.2,0.2,0.2,NA,NA,NA,0.2,0.2
Melaleuca uncinata,Melaleuca uncinata,TRUE,TRUE,NA,NA,1--5,NA,NA,0.2,0.2,NA,NA,0.2,NA,NA,0.2
Melaleuca viridiflora,Melaleuca viridiflora,TRUE,TRUE,NA,NA,4--5,NA,NA,0.2,0.2,NA,NA,0.2,NA,NA,0.2
Melalueca,Melaleuca,NA,NA,NA,NA,1--5,NA,NA,NA,NA,NA,NA,0.2,NA,NA,0.2
Melastoma affine,Melastoma affine,TRUE,TRUE,NA,NA,NA,NA,NA,0.2,0.2,NA,NA,NA,NA,NA,0.2
Melastoma polyanthum,Melastoma affine,TRUE,TRUE,NA,NA,NA,NA,NA,0.2,0.2,NA,NA,NA,NA,NA,0.2
Melicope elleryana,Melicope elleryana,TRUE,TRUE,NA,NA,6--10,NA,NA,0.2,0.2,NA,NA,1,NA,NA,0.3419951893
Melicope micrococca,Melicope micrococca,TRUE,TRUE,NA,NA,NA,NA,NA,0.2,0.2,NA,NA,NA,NA,NA,0.2
Melicope platynema,Brombya platynema,NA,NA,NA,NA,5--10,NA,NA,NA,NA,NA,NA,1,NA,NA,1
Micromyrtus,Micromyrtus,NA,NA,NA,NA,1--5,NA,NA,NA,NA,NA,NA,0.2,NA,NA,0.2
Micromyrtus hexamera,Micromyrtus hexamera,FALSE,NA,NA,NA,1--5,NA,NA,1,NA,NA,NA,0.2,NA,NA,0.4472135955
Micromyrtus sessilis,Micromyrtus sessilis,TRUE,TRUE,NA,NA,1--5,NA,NA,0.2,0.2,NA,NA,0.2,NA,NA,0.2
Microseris lanceolata,Microseris lanceolata,TRUE,TRUE,1,NA,0--1,NA,1,0.2,0.2,0.2,NA,0.2,NA,0.2,0.2
Mirbelia,Mirbelia,NA,NA,NA,NA,5--20,NA,NA,NA,NA,NA,NA,1,NA,NA,1
Mircoseris lanceolata,Microseris lanceolata,TRUE,TRUE,1,NA,0--1,NA,1,0.2,0.2,0.2,NA,0.2,NA,0.2,0.2
Muellerina eucalyptoides,Muellerina eucalyptoides,TRUE,TRUE,NA,NA,1--5,NA,NA,0.2,0.2,NA,NA,0.2,NA,NA,0.2
Murraya paniculata,Murraya paniculata,TRUE,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,0.2
Myoporum,Myoporum,NA,NA,NA,NA,5--20,NA,NA,NA,NA,NA,NA,1,NA,NA,1
Myoporum insulare,Myoporum insulare,TRUE,TRUE,1,NA,1--5,NA,NA,0.2,0.2,0.2,NA,0.2,NA,NA,0.2
Myoporum platycarpum,Myoporum platycarpum,TRUE,TRUE,NA,NA,5--20,NA,NA,0.2,0.2,NA,NA,1,NA,NA,0.3419951893
Myoporum viscosum,Myoporum viscosum,FALSE,NA,NA,NA,1--5,NA,NA,1,NA,NA,NA,0.2,NA,NA,0.4472135955
Neopaxia australasica,Montia australasica,TRUE,TRUE,1,NA,0--1,NA,NA,0.2,0.2,0.2,NA,0.2,NA,NA,0.2
Nothofagus cunninghamii,Nothofagus cunninghamii,TRUE,FALSE,NA,NA,5--20,NA,NA,0.2,1,NA,NA,1,NA,NA,0.5848035476
Nuytsia floribunda,Nuytsia floribunda,TRUE,FALSE,NA,NA,NA,NA,NA,0.2,1,NA,NA,NA,NA,NA,0.4472135955
Olearia,Olearia,NA,NA,NA,NA,1--5,NA,NA,NA,NA,NA,NA,0.2,NA,NA,0.2
Olearia phlogopappa,Olearia phlogopappa,TRUE,NA,2,NA,1--5,NA,NA,0.2,NA,0.2,NA,0.2,NA,NA,0.2
Olearia phlogopappa var. subrepanda,Olearia brevipedunculata,TRUE,TRUE,NA,NA,1--5,NA,NA,0.2,0.2,NA,NA,0.2,NA,NA,0.2
Olearina,Olearia,NA,NA,NA,NA,1--5,NA,NA,NA,NA,NA,NA,0.2,NA,NA,0.2
Orites excelsus,Orites excelsus,FALSE,FALSE,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1
Orites lancifolius,Orites lancifolius,TRUE,FALSE,5,NA,5--20,NA,NA,0.2,1,0.2,NA,1,NA,NA,0.4472135955
Orites revolutus,Orites revolutus,TRUE,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,0.2
Orthrosanthus,Orthrosanthus,NA,NA,NA,NA,1--5,NA,NA,NA,NA,NA,NA,0.2,NA,NA,0.2
Oxylobium,Oxylobium,NA,NA,NA,NA,5--20,NA,NA,NA,NA,NA,NA,1,NA,NA,1
Oxylobium aciculiferum,Podolobium aciculiferum,TRUE,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,0.2
Oxylobium ellipticum,Oxylobium ellipticum,TRUE,TRUE,5,NA,5--20,NA,NA,0.2,0.2,0.2,NA,1,NA,NA,0.2990697562
Oxylobium ilicifolium,Podolobium ilicifolium,TRUE,TRUE,NA,NA,5--20,0.7364341085,NA,0.2,0.2,NA,NA,1,0.2,NA,0.2990697562
Ozothamnus cupressoides,Ozothamnus cupressoides,FALSE,TRUE,NA,NA,1--5,NA,NA,1,0.2,NA,NA,0.2,NA,NA,0.3419951893
Ozothamnus diosmifolius,Ozothamnus diosmifolius,TRUE,FALSE,1.937984,NA,1--5,NA,NA,0.2,1,0.2,NA,0.2,NA,NA,0.2990697562
Ozothamnus ferrugineus,Ozothamnus ferrugineus,FALSE,TRUE,2,NA,1--5,NA,NA,1,0.2,0.2,NA,0.2,NA,NA,0.2990697562
Ozothamnus hookeri,Ozothamnus hookeri,TRUE,NA,2,NA,1--5,NA,NA,0.2,NA,0.2,NA,0.2,NA,NA,0.2
Ozothamnus obcordatus,Ozothamnus obcordatus,TRUE,TRUE,NA,NA,1--5,NA,NA,0.2,0.2,NA,NA,0.2,NA,NA,0.2
Ozothamnus thyrsoideus,Ozothamnus thyrsoideus,TRUE,TRUE,NA,NA,1--5,NA,NA,0.2,0.2,NA,NA,0.2,NA,NA,0.2
Passiflora,Passiflora,NA,NA,NA,NA,5--20,NA,NA,NA,NA,NA,NA,1,NA,NA,1
Patersonia,Patersonia,NA,NA,NA,NA,1--5,NA,NA,NA,NA,NA,NA,0.2,NA,NA,0.2
Patersonia occidentalis,Patersonia occidentalis,TRUE,NA,NA,3,NA,NA,NA,0.2,NA,NA,0.2,NA,NA,NA,0.2
Pentachondra pumila,Pentachondra pumila,FALSE,FALSE,NA,NA,1--5,NA,NA,1,1,NA,NA,0.2,NA,NA,0.5848035476
Persoonia lanceolata,Persoonia lanceolata,FALSE,FALSE,2.093023,NA,NA,NA,NA,1,1,0.2,NA,NA,NA,NA,0.5848035476
Persoonia mollis var. livens,Persoonia mollis subsp. livens,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1
Persoonia mollis var. revoluta,Persoonia mollis subsp. revoluta,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1
Persoonia virgata,Persoonia virgata,TRUE,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,0.2
Phebalium,Phebalium,NA,NA,NA,NA,5--20,NA,NA,NA,NA,NA,NA,1,NA,NA,1
Phebalium ovatifolium,Nematolepis ovatifolia,FALSE,FALSE,NA,NA,5--20,NA,NA,1,1,NA,NA,1,NA,NA,1
Phebalium squamulosum,Phebalium squamulosum,TRUE,TRUE,5,NA,5--20,NA,NA,0.2,0.2,0.2,NA,1,NA,NA,0.2990697562
Philotheca,Philotheca,NA,NA,NA,NA,5--20,NA,NA,NA,NA,NA,NA,1,NA,NA,1
Philotheca spicata,Philotheca spicata,TRUE,TRUE,NA,NA,NA,NA,NA,0.2,0.2,NA,NA,NA,NA,NA,0.2
Phyllota grandiflora,Phyllota grandiflora,TRUE,NA,NA,NA,NA,0.7170542636,NA,0.2,NA,NA,NA,NA,0.2,NA,0.2
Phyllota phylicoides,Phyllota phylicoides,TRUE,TRUE,4,NA,NA,1.666666667,NA,0.2,0.2,0.2,NA,NA,0.2,NA,0.2
Physalis peruviana,Physalis peruviana,NA,NA,2.713178,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,0.2
Physalis perviana,Physalis peruviana,NA,NA,2.713178,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,0.2
Pimelea,Pimelea,NA,NA,NA,NA,5--20,NA,NA,NA,NA,NA,NA,1,NA,NA,1
Pimelea axiflora,Pimelea axiflora,TRUE,FALSE,NA,NA,5--20,NA,NA,0.2,1,NA,NA,1,NA,NA,0.5848035476
Pimelea ligustrina,Pimelea ligustrina,TRUE,TRUE,NA,NA,5--20,NA,NA,0.2,0.2,NA,NA,1,NA,NA,0.3419951893
Planchonia careya,Planchonia careya,TRUE,FALSE,NA,NA,6--10,NA,NA,0.2,1,NA,NA,1,NA,NA,0.5848035476
Platylobium,Platylobium,NA,NA,NA,NA,5--20,NA,NA,NA,NA,NA,NA,1,NA,NA,1
Pleiogynium cerasiferum,Pleiogynium timoriense,TRUE,TRUE,NA,NA,NA,NA,NA,0.2,0.2,NA,NA,NA,NA,NA,0.2
Poa costiniana,Poa costiniana,TRUE,TRUE,1,NA,1--5,NA,1,0.2,0.2,0.2,NA,0.2,NA,0.2,0.2
Poa hiemata,Poa hiemata,TRUE,NA,1,NA,1--5,NA,1,0.2,NA,0.2,NA,0.2,NA,0.2,0.2
Poa labillardierei,Poa labillardierei,TRUE,NA,NA,NA,1--5,NA,NA,0.2,NA,NA,NA,0.2,NA,NA,0.2
Podolepis,Podolepis,NA,NA,NA,NA,1--5,NA,NA,NA,NA,NA,NA,0.2,NA,NA,0.2
Podolepis canescens,Podolepis canescens,FALSE,NA,NA,NA,0--1,NA,NA,1,NA,NA,NA,0.2,NA,NA,0.4472135955
Podolepis neglecta,Podolepis neglecta,TRUE,NA,NA,NA,1--5,NA,NA,0.2,NA,NA,NA,0.2,NA,NA,0.2
Podolepis robusta,Podolepis robusta,TRUE,NA,1,NA,1--5,NA,1,0.2,NA,0.2,NA,0.2,NA,0.2,0.2
Podolobium alpestre,Podolobium alpestre,TRUE,TRUE,5,NA,5--20,NA,NA,0.2,0.2,0.2,NA,1,NA,NA,0.2990697562
Pongamia pinnata,Millettia pinnata,TRUE,TRUE,NA,NA,10--,NA,NA,0.2,0.2,NA,NA,1,NA,NA,0.3419951893
Portulaceae,Portulaca,NA,NA,NA,NA,0--1,NA,NA,NA,NA,NA,NA,0.2,NA,NA,0.2
Prasophyllum alpinum,Prasophyllum alpinum,TRUE,NA,NA,NA,1--5,NA,NA,0.2,NA,NA,NA,0.2,NA,NA,0.2
Prasophyllum fimbria,Prasophyllum fimbria,TRUE,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,0.2
Prostanthera cuneata,Prostanthera cuneata,TRUE,TRUE,5,NA,1--5,NA,NA,0.2,0.2,0.2,NA,0.2,NA,NA,0.2
Prostanthera cuneata,Prostanthera cuneata,TRUE,TRUE,5,NA,1--5,NA,NA,0.2,0.2,0.2,NA,0.2,NA,NA,0.2
Prostanthera lasianthos,Prostanthera lasianthos,TRUE,TRUE,5,NA,1--5,NA,NA,0.2,0.2,0.2,NA,0.2,NA,NA,0.2
Psoralea patens,Cullen patens,TRUE,NA,NA,NA,1--5,NA,NA,0.2,NA,NA,NA,0.2,NA,NA,0.2
Psydrax odorata,Psydrax odorata,TRUE,FALSE,NA,NA,5--20,NA,NA,0.2,1,NA,NA,1,NA,NA,0.5848035476
Ptilotus,Ptilotus,NA,NA,NA,NA,1--5,NA,NA,NA,NA,NA,NA,0.2,NA,NA,0.2
Pultenaea,Pultenaea,NA,NA,NA,NA,5--20,NA,NA,NA,NA,NA,NA,1,NA,NA,1
Pultenaea acerosa,Pultenaea acerosa,FALSE,NA,NA,NA,5--20,NA,NA,1,NA,NA,NA,1,NA,NA,1
Pultenaea blakelyi,Pultenaea blakelyi,FALSE,NA,NA,NA,5--20,NA,NA,1,NA,NA,NA,1,NA,NA,1
Pultenaea daphnoides,Pultenaea daphnoides,FALSE,TRUE,1.666667,NA,5--20,NA,NA,1,0.2,0.2,NA,1,NA,NA,0.4472135955
Pultenaea elliptica,Pultenaea tuberculata,TRUE,TRUE,1.182171,NA,NA,NA,2,0.2,0.2,0.2,NA,NA,NA,0.2,0.2
Pultenaea ferruginea,Pultenaea ferruginea,FALSE,TRUE,NA,NA,NA,NA,NA,1,0.2,NA,NA,NA,NA,NA,0.4472135955
Pultenaea flexilis,Pultenaea flexilis,FALSE,TRUE,1.705426,NA,5--20,NA,NA,1,0.2,0.2,NA,1,NA,NA,0.4472135955
Pultenaea glabra,Pultenaea glabra,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1
Pultenaea largiflorens,Pultenaea largiflorens,FALSE,NA,NA,NA,5--20,NA,NA,1,NA,NA,NA,1,NA,NA,1
Pultenaea microphylla,Pultenaea microphylla,TRUE,TRUE,NA,NA,5--20,3,NA,0.2,0.2,NA,NA,1,0.2,NA,0.2990697562
Pultenaea stipularis,Pultenaea stipularis,FALSE,NA,1.744186,NA,NA,NA,NA,1,NA,0.2,NA,NA,NA,NA,0.4472135955
Pultenaea tenella,Pultenaea tenella,TRUE,TRUE,NA,NA,5--20,NA,NA,0.2,0.2,NA,NA,1,NA,NA,0.3419951893
Pultenaea tuberculata,Pultenaea tuberculata,TRUE,TRUE,1.182171,NA,NA,NA,2,0.2,0.2,0.2,NA,NA,NA,0.2,0.2
Pultenaea villosa,Pultenaea villosa,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1
Ranunculus victoriensis,Ranunculus victoriensis,TRUE,TRUE,NA,NA,1--5,NA,NA,0.2,0.2,NA,NA,0.2,NA,NA,0.2
Rapanea variabilis,Myrsine variabilis,TRUE,FALSE,2,NA,5--20,2.364341085,NA,0.2,1,0.2,NA,1,0.2,NA,0.3807307877
Rhadinothamnus anceps,Rhadinothamnus anceps,FALSE,NA,NA,1,NA,NA,NA,1,NA,NA,0.2,NA,NA,NA,0.4472135955
Rhodanthe anthemoides,Rhodanthe anthemoides,TRUE,NA,1,NA,0--1,NA,1,0.2,NA,0.2,NA,0.2,NA,0.2,0.2
Rhodanthe charsleyae,Rhodanthe charsleyae,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1
Richea continentis,Richea continentis,FALSE,TRUE,NA,NA,1--5,NA,NA,1,0.2,NA,NA,0.2,NA,NA,0.3419951893
Rubus fruticosus,Rubus anglocandicans,NA,NA,1,NA,NA,0.7364341085,1,NA,NA,0.2,NA,NA,0.2,0.2,0.2
Rubus hillii,Rubus moluccanus var. moluccanus,TRUE,FALSE,NA,NA,NA,NA,NA,0.2,1,NA,NA,NA,NA,NA,0.4472135955
Rubus moorei,Rubus moorei,TRUE,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,0.2
Rubus parvifolius,Rubus parvifolius,TRUE,TRUE,NA,NA,1--5,NA,NA,0.2,0.2,NA,NA,0.2,NA,NA,0.2
Rubus rosifolius,Rubus rosifolius,TRUE,FALSE,NA,NA,5--20,NA,NA,0.2,1,NA,NA,1,NA,NA,0.5848035476
Santalum acuminatum,Santalum acuminatum,TRUE,TRUE,NA,NA,6--10,NA,NA,0.2,0.2,NA,NA,1,NA,NA,0.3419951893
Scaevola,Scaevola,NA,NA,NA,NA,1--5,NA,NA,NA,NA,NA,NA,0.2,NA,NA,0.2
Scaevola spinescens,Scaevola spinescens,TRUE,TRUE,NA,NA,4--5,NA,NA,0.2,0.2,NA,NA,0.2,NA,NA,0.2
Schizomeria ovata,Schizomeria ovata,TRUE,FALSE,NA,NA,NA,NA,NA,0.2,1,NA,NA,NA,NA,NA,0.4472135955
Schoenia cassiniana,Schoenia cassiniana,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1
Scleria,Scleria,NA,NA,NA,NA,1--5,NA,NA,NA,NA,NA,NA,0.2,NA,NA,0.2
Scolopia braunii,Scolopia braunii,TRUE,FALSE,NA,NA,NA,NA,NA,0.2,1,NA,NA,NA,NA,NA,0.4472135955
Senecio gunnii,Senecio gunnii,TRUE,TRUE,1,NA,1--5,NA,NA,0.2,0.2,0.2,NA,0.2,NA,NA,0.2
Senecio pinnatifolius,Senecio pinnatifolius,TRUE,TRUE,NA,NA,0--1,NA,NA,0.2,0.2,NA,NA,0.2,NA,NA,0.2
Senecio pinnatifolius var. pleiocephalus,Senecio pinnatifolius var. alpinus,TRUE,TRUE,1,NA,1--5,NA,1,0.2,0.2,0.2,NA,0.2,NA,0.2,0.2
Sida cordifolia,Sida cordifolia,TRUE,FALSE,NA,NA,5--20,NA,NA,0.2,1,NA,NA,1,NA,NA,0.5848035476
Sloanea woollsii,Sloanea woollsii,FALSE,FALSE,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1
Solanum centrale,Solanum centrale,TRUE,NA,NA,NA,1,NA,NA,0.2,NA,NA,NA,0.2,NA,NA,0.2
Solanum cinereum,Solanum cinereum,FALSE,TRUE,NA,NA,1--5,NA,NA,1,0.2,NA,NA,0.2,NA,NA,0.3419951893
Solanum dioicum,Solanum dioicum,TRUE,NA,NA,NA,1,NA,NA,0.2,NA,NA,NA,0.2,NA,NA,0.2
Solanum ellipticum,Solanum ellipticum,TRUE,TRUE,NA,NA,1--5,NA,NA,0.2,0.2,NA,NA,0.2,NA,NA,0.2
Solanum esuriale,Solanum esuriale,TRUE,NA,NA,NA,1--5,NA,NA,0.2,NA,NA,NA,0.2,NA,NA,0.2
Solanum hoplopetalum,Solanum hoplopetalum,NA,TRUE,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,0.2
Solanum lucani,Solanum lucani,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1
Solanum mauritianum,Solanum mauritianum,NA,NA,1,NA,NA,0.6976744186,1,NA,NA,0.2,NA,NA,0.2,0.2,0.2
Solanum nummularium,Solanum nummularium,NA,TRUE,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,0.2
Solanum parvifolium,Solanum parvifolium,FALSE,NA,NA,NA,5--20,NA,NA,1,NA,NA,NA,1,NA,NA,1
Solanum petrophilum,Solanum petrophilum,TRUE,NA,NA,NA,1,NA,NA,0.2,NA,NA,NA,0.2,NA,NA,0.2
Solanum quadriloculatum,Solanum quadriloculatum,TRUE,NA,NA,NA,1,NA,NA,0.2,NA,NA,NA,0.2,NA,NA,0.2
Solanum sturtianum,Solanum sturtianum,TRUE,NA,NA,NA,1,NA,NA,0.2,NA,NA,NA,0.2,NA,NA,0.2
Stackhousia pulvinaris,Stackhousia pulvinaris,TRUE,FALSE,1,NA,1--5,NA,NA,0.2,1,0.2,NA,0.2,NA,NA,0.2990697562
Stemodia florulenta,Stemodia florulenta,TRUE,NA,NA,NA,1--5,NA,NA,0.2,NA,NA,NA,0.2,NA,NA,0.2
Stipa setacea,Austrostipa setacea,TRUE,NA,1,NA,1--5,NA,NA,0.2,NA,0.2,NA,0.2,NA,NA,0.2
Stylidium,Stylidium,NA,NA,NA,NA,1--5,NA,NA,NA,NA,NA,NA,0.2,NA,NA,0.2
Stylidium armeria,Stylidium armeria,TRUE,TRUE,NA,NA,1--5,NA,NA,0.2,0.2,NA,NA,0.2,NA,NA,0.2
Stylidium bulbiferum,Stylidium bulbiferum,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1
Stylidium graminifolium,Stylidium graminifolium,TRUE,TRUE,1,NA,1--5,0.5813953488,NA,0.2,0.2,0.2,NA,0.2,0.2,NA,0.2
Stypandra glauca,Stypandra glauca,TRUE,NA,NA,NA,1--5,NA,NA,0.2,NA,NA,NA,0.2,NA,NA,0.2
Styphelia,Styphelia,NA,NA,NA,NA,1--5,NA,NA,NA,NA,NA,NA,0.2,NA,NA,0.2
Swainsona,Swainsona,NA,NA,NA,NA,1--5,NA,NA,NA,NA,NA,NA,0.2,NA,NA,0.2
Swainsona galegifolia,Swainsona galegifolia,TRUE,NA,2,NA,1--5,NA,NA,0.2,NA,0.2,NA,0.2,NA,NA,0.2
Syncarpia glomulifera,Syncarpia glomulifera,TRUE,TRUE,NA,NA,20--,5.03875969,NA,0.2,0.2,NA,NA,1,1,NA,0.4472135955
Synima cordieri,Synima cordierorum,TRUE,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,0.2
Syzigium,Syzygium,NA,NA,NA,NA,5--20,NA,NA,NA,NA,NA,NA,1,NA,NA,1
Syzigium tierneyanum,Syzygium tierneyanum,TRUE,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,0.2
Syzygium,Syzygium,NA,NA,NA,NA,5--20,NA,NA,NA,NA,NA,NA,1,NA,NA,1
Syzygium australe,Syzygium australe,TRUE,FALSE,NA,NA,NA,NA,NA,0.2,1,NA,NA,NA,NA,NA,0.4472135955
Syzygium oleosum,Syzygium oleosum,TRUE,TRUE,NA,NA,NA,NA,NA,0.2,0.2,NA,NA,NA,NA,NA,0.2
Syzygium paniculatum,Syzygium paniculatum,TRUE,NA,NA,NA,NA,NA,2,0.2,NA,NA,NA,NA,NA,0.2,0.2
Syzygium smithii,Syzygium smithii,TRUE,FALSE,5,NA,5--20,1,NA,0.2,1,0.2,NA,1,0.2,NA,0.3807307877
Syzygium wilsonii subsp. wilsonii,Syzygium wilsonii subsp. wilsonii,TRUE,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,0.2
Taraxacum,Taraxacum,NA,NA,NA,NA,1--5,NA,NA,NA,NA,NA,NA,0.2,NA,NA,0.2
Terminalia catappa,Terminalia catappa,TRUE,NA,NA,NA,6--10,NA,NA,0.2,NA,NA,NA,1,NA,NA,0.4472135955
Terminalia hadleyana,Terminalia hadleyana,TRUE,FALSE,NA,NA,NA,NA,NA,0.2,1,NA,NA,NA,NA,NA,0.4472135955
Themeda australis,Themeda triandra,TRUE,TRUE,1,NA,1--5,NA,NA,0.2,0.2,0.2,NA,0.2,NA,NA,0.2
Thryptomene,Thryptomene,NA,NA,NA,NA,1--5,NA,NA,NA,NA,NA,NA,0.2,NA,NA,0.2
Thryptomene australis,Thryptomene australis,FALSE,NA,NA,1.916666667,NA,NA,NA,1,NA,NA,0.2,NA,NA,NA,0.4472135955
Thysanotus,Thysanotus,NA,NA,NA,NA,1--5,NA,NA,NA,NA,NA,NA,0.2,NA,NA,0.2
Toona australis,Toona ciliata,TRUE,FALSE,NA,NA,NA,NA,NA,0.2,1,NA,NA,NA,NA,NA,0.4472135955
Trachymene glaucifolia,Trachymene glaucifolia,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1
Trema tomentosa,Trema tomentosa,TRUE,TRUE,NA,NA,2--3,NA,NA,0.2,0.2,NA,NA,0.2,NA,NA,0.2
Tribulus occidentalis,Tribulus occidentalis,FALSE,NA,NA,NA,0--1,NA,NA,1,NA,NA,NA,0.2,NA,NA,0.4472135955
Trichodesma zeylanicum,Trichodesma zeylanicum,TRUE,TRUE,NA,NA,1,NA,NA,0.2,0.2,NA,NA,0.2,NA,NA,0.2
Tristania suaveolens,Lophostemon suaveolens,TRUE,TRUE,NA,NA,NA,NA,NA,0.2,0.2,NA,NA,NA,NA,NA,0.2
Tristaniopsis,Tristaniopsis,NA,NA,NA,NA,5--20,NA,NA,NA,NA,NA,NA,1,NA,NA,1
Tristaniopsis laurina,Tristaniopsis laurina,TRUE,FALSE,2,NA,5--20,2.015503876,NA,0.2,1,0.2,NA,1,0.2,NA,0.3807307877
Velleia spathulata,Velleia spathulata,TRUE,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,0.2
Verticordia acerosa,Verticordia acerosa,TRUE,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,0.2
Verticordia picta,Verticordia picta,FALSE,TRUE,NA,NA,NA,NA,NA,1,0.2,NA,NA,NA,NA,NA,0.4472135955
Verticordia serrata,Verticordia serrata,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1
Viminaria juncea,Viminaria juncea,FALSE,TRUE,1.763566,NA,1--5,NA,NA,1,0.2,0.2,NA,0.2,NA,NA,0.2990697562
Wahlenbergia,Wahlenbergia,NA,NA,2,NA,1--5,NA,NA,NA,NA,0.2,NA,0.2,NA,NA,0.2
Wahlenbergia ceracea,Wahlenbergia ceracea,TRUE,TRUE,1,NA,1--5,NA,NA,0.2,0.2,0.2,NA,0.2,NA,NA,0.2
Wahlenbergia gloriosa,Wahlenbergia gloriosa,TRUE,TRUE,1,NA,1--5,NA,NA,0.2,0.2,0.2,NA,0.2,NA,NA,0.2
Waterhousea,Syzygium,NA,NA,NA,NA,5--20,NA,NA,NA,NA,NA,NA,1,NA,NA,1
Xanthorrhoea,Xanthorrhoea,NA,NA,NA,NA,5--20,NA,NA,NA,NA,NA,NA,1,NA,NA,1
Xanthorrhoea australis,Xanthorrhoea australis,TRUE,TRUE,1,NA,5--20,NA,1,0.2,0.2,0.2,NA,1,NA,0.2,0.2759459323
Xanthorrhoea johnsonii,Xanthorrhoea johnsonii,TRUE,FALSE,2,NA,5--20,NA,NA,0.2,1,0.2,NA,1,NA,NA,0.4472135955
Xanthorrhoea minor,Xanthorrhoea minor,TRUE,NA,NA,NA,5--20,0.7364341085,NA,0.2,NA,NA,NA,1,0.2,NA,0.3419951893
Xanthorrhoea preissii,Xanthorrhoea preissii,TRUE,FALSE,NA,NA,NA,NA,NA,0.2,1,NA,NA,NA,NA,NA,0.4472135955
Xerochrysum bracteatum,Xerochrysum bracteatum,FALSE,TRUE,NA,0.75,1,NA,NA,1,0.2,NA,0.2,0.2,NA,NA,0.2990697562
Xerochrysum subundulatum,Xerochrysum subundulatum,TRUE,TRUE,NA,NA,0--1,NA,1,0.2,0.2,NA,NA,0.2,NA,0.2,0.2
Xyris,Xyris,NA,NA,NA,NA,1--5,NA,NA,NA,NA,NA,NA,0.2,NA,NA,0.2
Zieria,Zieria,NA,NA,NA,NA,5--20,NA,NA,NA,NA,NA,NA,1,NA,NA,1
