taxon_name,taxon_family,taxname_source,updated_taxon_name,notes
Astacopsis franklinii,Parastacidae,AFD,,
Astacopsis gouldi,Parastacidae,AFD,,
Cherax albidus,Parastacidae,NA,,
Cherax bicarinatus,Parastacidae,AFD,,
Cherax boesemani,Parastacidae,NA,,
Cherax boschmai,Parastacidae,NA,,
Cherax buitendijkae,Parastacidae,NA,,
Cherax cairnsensis,Parastacidae,AFD,,
Cherax cartalacoolah,Parastacidae,AFD,,
Cherax communis,Parastacidae,NA,,
Cherax crassimanus,Parastacidae,AFD,,
Cherax cuspidatus,Parastacidae,AFD,,
Cherax depressus,Parastacidae,AFD,,
Cherax destructor,Parastacidae,AFD,,
Cherax dispar,Parastacidae,AFD,,
Cherax glaber,Parastacidae,AFD,,
Cherax holthuisi,Parastacidae,NA,,
Cherax leckii,Parastacidae,AFD,,
Cherax longipes,Parastacidae,NA,,
Cherax lorentzi,Parastacidae,NA,,
Cherax minor,Parastacidae,NA,,
Cherax misolicus,Parastacidae,NA,,
Cherax murido,Parastacidae,NA,,
Cherax pallidus,Parastacidae,NA,,
Cherax paniaicus,Parastacidae,NA,,
Cherax papuanus,Parastacidae,NA,,
Cherax parvus,Parastacidae,AFD,,
Cherax peknyi,Parastacidae,NA,,
Cherax plebejus,Parastacidae,AFD,,
Cherax preisii,Parastacidae,NA,,
Cherax preissii,Parastacidae,AFD,,
Cherax punctatus,Parastacidae,AFD,,
Cherax quadricarinatus,Parastacidae,AFD,,
Cherax quinquecarinatus,Parastacidae,AFD,,
Cherax rhynchotus,Parastacidae,AFD,,
Cherax robustus,Parastacidae,AFD,,
Cherax rotundus,Parastacidae,AFD,,
Cherax solus,Parastacidae,NA,,
Cherax tenuimanus,Parastacidae,AFD,,
Cherax urospinosus,Parastacidae,AFD,,
Cherax wasselli,Parastacidae,AFD,,
Engaeus affinis,Parastacidae,AFD,,
Engaeus australis,Parastacidae,AFD,,
Engaeus cisternarius,Parastacidae,AFD,,
Engaeus cunicularius,Parastacidae,AFD,,
Engaeus curvisuturus,Parastacidae,AFD,,
Engaeus cymus,Parastacidae,AFD,,
Engaeus disjuncticus,Parastacidae,AFD,,
Engaeus fossor,Parastacidae,AFD,,
Engaeus fultoni,Parastacidae,AFD,,
Engaeus granulatus,Parastacidae,AFD,,
Engaeus hemicerratulus,Parastacidae,NA,,
Engaeus hemicirratulus,Parastacidae,AFD,,
Engaeus karnanga,Parastacidae,AFD,,
Engaeus laevis,Parastacidae,AFD,,
Engaeus lengana,Parastacidae,AFD,,
Engaeus leptorhynchus,Parastacidae,AFD,,
Engaeus lyelli,Parastacidae,AFD,,
Engaeus mairener,Parastacidae,AFD,,
Engaeus mallacoota,Parastacidae,AFD,,
Engaeus martigener,Parastacidae,AFD,,
Engaeus merosetosus,Parastacidae,AFD,,
Engaeus nulloporius,Parastacidae,AFD,,
Engaeus orientalis,Parastacidae,AFD,,
Engaeus orramakunna,Parastacidae,AFD,,
Engaeus phyllocercus,Parastacidae,AFD,,
Engaeus quadrimanus,Parastacidae,AFD,,
Engaeus rostrogaleatus,Parastacidae,AFD,,
Engaeus sericatus,Parastacidae,AFD,,
Engaeus spinicaudatus,Parastacidae,AFD,,
Engaeus sternalis,Parastacidae,AFD,,
Engaeus strictifrons,Parastacidae,AFD,,
Engaeus tayatea,Parastacidae,AFD,,
Engaeus tuberculatus,Parastacidae,AFD,,
Engaeus urostrictus,Parastacidae,AFD,,
Engaeus victoriensis,Parastacidae,AFD,,
Engaeus yabbimunna,Parastacidae,AFD,,
Engaewa pseudoreducta,Parastacidae,AFD,,
Engaewa reducta,Parastacidae,AFD,,
Engaewa similis,Parastacidae,AFD,,
Engaewa subcoerulea,Parastacidae,AFD,,
Engaewa walpolea,Parastacidae,AFD,,
Euastacus armatus,Parastacidae,AFD,,
Euastacus australasiensis,Parastacidae,AFD,,
Euastacus australiensis,Parastacidae,NA,,
Euastacus balanesis,Parastacidae,NA,,
Euastacus bidawalis,Parastacidae,NA,,
Euastacus bindal,Parastacidae,AFD,,
Euastacus bispinosus,Parastacidae,AFD,,
Euastacus brachythorax,Parastacidae,AFD,,
Euastacus clarkae,Parastacidae,AFD,,
Euastacus claytoni,Parastacidae,AFD,,
Euastacus crassus,Parastacidae,AFD,,
Euastacus dalagarbe,Parastacidae,AFD,,
Euastacus dangadi,Parastacidae,AFD,,
Euastacus dharawalus,Parastacidae,AFD,,
Euastacus diversus,Parastacidae,AFD,,
Euastacus eungella,Parastacidae,AFD,,
Euastacus fleckeri,Parastacidae,AFD,,
Euastacus gamilaroi,Parastacidae,AFD,,
Euastacus girurmulayn,Parastacidae,AFD,,
Euastacus gumar,Parastacidae,AFD,,
Euastacus guruhgi,Parastacidae,AFD,,
Euastacus guwinus,Parastacidae,AFD,,
Euastacus hirsutus,Parastacidae,AFD,,
Euastacus hystricosus,Parastacidae,AFD,,
Euastacus jagabar,Parastacidae,AFD,,
Euastacus jagara,Parastacidae,AFD,,
Euastacus kershawi,Parastacidae,AFD,,
Euastacus maccai,Parastacidae,NA,,
Euastacus maidae,Parastacidae,AFD,,
Euastacus mirangudjin,Parastacidae,AFD,,
Euastacus monteithorum,Parastacidae,AFD,,
Euastacus morgani,Parastacidae,AFD,,
Euastacus neodiversus,Parastacidae,AFD,,
Euastacus neohirsutus,Parastacidae,AFD,,
Euastacus pilosus,Parastacidae,AFD,,
Euastacus polysetosus,Parastacidae,AFD,,
Euastacus reductus,Parastacidae,AFD,,
Euastacus rieki,Parastacidae,AFD,,
Euastacus robertsi,Parastacidae,AFD,,
Euastacus serratus,Parastacidae,NA,,
Euastacus setosus,Parastacidae,AFD,,
Euastacus simplex,Parastacidae,AFD,,
Euastacus spinichelatus,Parastacidae,AFD,,
Euastacus spinifer,Parastacidae,AFD,,
Euastacus sulcatus,Parastacidae,AFD,,
Euastacus suttoni,Parastacidae,AFD,,
Euastacus urospinosus,Parastacidae,AFD,,
Euastacus valentulus,Parastacidae,AFD,,
Euastacus wiowuru,Parastacidae,NA,,
Euastacus woiwuru,Parastacidae,AFD,,
Euastacus yanga,Parastacidae,AFD,,
Euastacus yarraensis,Parastacidae,AFD,,
Euastacus yigara,Parastacidae,AFD,,
Geocharax falcata,Parastacidae,AFD,,
Geocharax gracilis,Parastacidae,NA,,
Gramastacus insolitus,Parastacidae,AFD,,
Ombrastacoides asperrimanus,Parastacidae,AFD,,
Ombrastacoides brevirostris,Parastacidae,AFD,,
Ombrastacoides decemdentatus,Parastacidae,AFD,,
Ombrastacoides denisoni,Parastacidae,AFD,,
Ombrastacoides dissitus,Parastacidae,AFD,,
Ombrastacoides huonensis,Parastacidae,AFD,,
Ombrastacoides ingressus,Parastacidae,AFD,,
Ombrastacoides leptomerus,Parastacidae,AFD,,
Ombrastacoides parvicaudatus,Parastacidae,AFD,,
Ombrastacoides professorum,Parastacidae,AFD,,
Ombrastacoides pulcher,Parastacidae,AFD,,
Spinastacoides catinipalmus,Parastacidae,AFD,,
Spinastacoides inermis,Parastacidae,AFD,,
Spinastacoides insignis,Parastacidae,AFD,,
Tenuibranchiurus glypticus,Parastacidae,AFD,,
Astacopsis tricornis,Parastacidae,AFD,,
Cherax cainii,Parastacidae,AFD,,
Cherax monticola,Parastacidae,NA,,
Euastacus yarreansis,Parastacidae,NA,,
Astacoides betsileoensis,Parastacidae,NA,,
Astacoides caldwelli,Parastacidae,NA,,
Astacoides granulimanus,Parastacidae,NA,,
Paranephrops planifrons,Parastacidae,NA,,
Paranephrops zealandicus,Parastacidae,NA,,
Parastacus brasiliensis,Parastacidae,NA,,
Parastacus pilimanus,Parastacidae,NA,,
